axe,jeu,instance,variante,cout,visites,temps_total_s,nb_appels_api,temps_api_s
1_points_insertion,Taquin,niveau2_moyen/carte1,baseline,13,55,0.002,0,0.0
1_points_insertion,Taquin,niveau2_moyen/carte1,point1_departager,13,54,1230.456,49,1230.447
1_points_insertion,Taquin,niveau2_moyen/carte1,point2_heuristique_lot,13,55,2116.406,54,2116.402
1_points_insertion,Taquin,niveau3_difficile/carte1,baseline,16,48,0.001,0,0.0
1_points_insertion,Taquin,niveau3_difficile/carte1,point1_departager,16,48,935.31,36,935.304
1_points_insertion,Taquin,niveau3_difficile/carte1,point2_heuristique_lot,16,48,1786.766,49,1786.761
